non_severe_asthma_with_recent_salbutamol_count,other_respiratory_conditions,heart_failure,other_heart_disease,diabetes,chronic_kidney_disease,chronic_liver_disease,other_neuro,psychosis_schiz_bipolar,asplenia,Count
0,1,0,0,1,0,1,0,1,0,23
1,0,0,1,1,0,0,1,1,0,23
0,0,1,1,1,0,0,1,1,0,23
1,0,0,0,0,1,1,0,0,0,23
0,0,0,1,0,0,0,1,0,1,22
1,1,0,1,0,1,0,0,0,0,22
0,0,1,1,0,0,1,0,1,0,22
0,0,1,0,1,1,1,0,0,0,22
0,0,0,1,1,0,1,0,0,1,21
1,0,0,1,0,0,0,1,1,0,21
1,1,1,0,0,0,0,0,1,0,21
0,1,0,0,0,0,1,0,1,0,21
0,0,1,0,0,1,1,0,0,0,21
0,0,0,1,1,0,0,1,0,1,21
1,1,1,1,0,0,1,0,0,0,21
0,0,1,0,1,0,0,1,1,0,19
1,1,1,1,0,0,0,0,1,0,19
1,1,1,1,1,0,0,0,1,0,19
0,0,1,0,0,0,1,0,1,0,18
0,1,1,0,0,0,0,0,0,1,18
0,1,1,1,1,0,0,0,0,1,18
0,1,0,0,1,0,1,1,0,0,17
1,0,0,0,1,0,1,1,0,0,17
0,0,1,0,1,0,1,1,0,0,16
1,0,0,0,0,1,0,0,1,0,16
1,0,0,1,0,0,1,0,1,0,15
1,0,0,0,1,1,1,0,0,0,15
1,0,0,1,0,0,1,1,0,0,15
0,1,0,1,0,0,0,1,1,0,15
1,0,0,1,1,0,1,0,1,0,15
0,1,0,0,0,0,1,0,0,1,15
1,0,0,0,0,1,0,1,0,0,15
1,1,0,0,0,0,1,0,1,0,14
0,0,1,0,0,1,0,0,1,0,14
0,0,1,0,1,0,1,0,1,0,14
1,0,0,0,0,0,1,0,0,1,14
0,0,1,1,0,1,0,1,0,0,14
0,0,1,1,0,1,1,0,0,0,14
0,0,0,0,1,0,0,0,1,1,14
0,0,0,1,0,0,0,0,1,1,14
0,0,0,0,1,0,0,1,0,1,14
1,1,0,1,1,1,0,0,0,0,14
1,0,0,0,1,1,0,0,1,0,13
0,0,1,1,1,1,0,1,0,0,13
0,1,0,1,0,0,1,1,0,0,13
1,1,0,1,1,0,0,0,0,1,12
1,1,0,0,1,0,0,1,1,0,12
1,0,0,1,1,1,1,0,0,0,12
0,1,1,0,1,0,0,0,0,1,12
0,0,0,1,1,0,0,0,1,1,12
0,1,0,1,1,0,0,1,1,0,12
0,1,0,0,0,1,1,0,0,0,12
0,0,1,1,1,0,1,0,0,1,11
0,1,0,0,1,0,0,1,1,0,11
0,0,0,1,0,1,0,0,0,1,11
0,0,1,1,0,0,0,1,0,1,11
0,0,1,0,1,0,1,0,0,1,11
1,1,1,0,0,0,0,0,0,1,10
1,1,1,0,0,1,0,0,0,0,10
1,0,0,1,1,0,1,1,0,0,10
0,0,0,1,1,1,0,0,0,1,10
1,1,1,1,1,1,0,0,0,0,9
1,1,0,0,1,0,1,0,1,0,9
1,1,1,1,0,0,0,0,0,1,9
1,1,0,0,0,0,0,1,1,0,9
0,1,0,1,1,0,1,1,0,0,9
0,0,1,1,0,1,0,0,0,1,8
1,1,1,1,0,1,0,0,0,0,8
0,0,1,0,0,0,0,1,0,1,8
0,0,0,0,0,1,1,0,1,0,8
0,0,1,0,0,1,0,1,0,0,8
1,0,1,1,1,1,1,0,0,0,7
1,1,1,1,1,0,0,0,0,1,7
1,0,0,0,1,1,0,0,0,1,7
0,0,1,1,0,1,0,0,1,0,7
0,1,1,0,0,0,1,1,0,0,7
1,0,0,0,0,0,0,0,1,1,7
0,1,0,0,1,1,1,0,0,0,7
0,0,1,0,0,0,1,0,0,1,7
1,0,1,1,0,0,1,0,1,0,7
0,1,0,0,0,1,0,1,0,0,7
0,0,0,0,0,1,0,1,1,0,7
0,1,0,1,1,0,1,0,1,0,7
0,0,1,1,1,1,0,0,1,0,7
0,0,1,0,1,1,0,1,0,0,7
0,1,1,0,0,0,0,1,1,0,7
0,1,0,0,1,1,0,0,1,0,7
1,0,0,0,0,0,0,1,0,1,7
1,0,1,1,0,0,0,1,1,0,7
1,0,1,1,1,0,1,0,0,1,7
1,1,1,0,1,1,0,0,0,0,7
0,0,1,1,0,0,1,0,0,1,7
1,0,1,1,1,1,0,1,0,0,7
1,0,1,0,1,0,1,0,1,0,7
0,1,0,0,1,0,1,0,0,1,7
0,0,1,1,1,0,0,1,0,1,7
1,0,0,1,1,1,0,0,1,0,7
1,0,0,0,1,0,1,0,0,1,7
1,1,0,1,0,0,1,0,1,0,7
1,1,0,0,0,0,1,1,0,0,7
1,0,0,0,0,1,0,0,0,1,7
0,0,1,0,1,1,0,0,1,0,7
1,0,1,0,0,0,1,0,1,0,7
1,0,0,1,1,1,0,1,0,0,7
0,1,0,0,0,1,0,0,1,0,7
1,0,1,0,1,0,0,1,1,0,7
1,0,1,0,1,0,1,1,0,0,7
1,0,1,0,0,0,0,1,1,0,7
0,0,1,1,0,0,0,0,1,1,7
0,1,0,0,0,0,0,0,1,1,7
1,1,0,1,0,0,0,1,1,0,7
1,0,0,1,0,1,0,1,0,0,7
0,0,0,1,1,0,1,1,1,0,7
0,0,0,0,1,0,1,1,1,0,7
1,0,0,0,1,1,0,1,0,0,7
1,1,0,1,1,0,1,0,1,0,7
1,1,0,1,1,0,1,1,0,0,7
1,1,0,0,0,0,1,0,0,1,7
0,1,1,1,0,0,0,1,0,1,7
0,0,0,0,1,1,1,0,0,1,7
0,1,1,1,1,0,0,1,1,0,7
0,0,0,0,0,0,1,1,0,1,7
1,1,1,0,1,0,0,0,0,1,7
0,1,0,1,0,0,1,0,1,0,7
0,0,0,0,0,1,1,0,0,1,7
1,0,1,1,1,1,0,0,1,0,7
0,0,1,0,1,0,0,1,0,1,7
1,0,0,1,0,0,1,0,0,1,7
0,0,0,0,1,1,0,1,1,0,7
0,0,1,1,1,1,0,0,0,1,7
0,0,0,0,0,0,1,1,1,0,7
1,0,1,0,0,0,1,1,0,0,7
0,0,1,0,0,1,0,0,0,1,7
1,0,1,1,1,0,1,0,1,0,7
0,0,1,0,1,0,0,0,1,1,7
0,1,1,1,0,0,0,1,1,0,7
0,1,1,1,1,0,1,1,0,0,7
0,1,1,0,1,0,1,1,0,0,7
0,0,0,1,0,0,1,1,1,0,7
1,0,0,1,1,0,0,0,1,1,7
1,0,0,1,1,0,1,0,0,1,7
0,0,0,0,0,1,1,1,0,0,7
0,1,0,1,0,0,0,1,0,1,7
0,1,0,1,0,1,0,0,0,1,7
0,1,0,0,1,0,0,1,0,1,7
1,0,0,0,0,0,1,1,1,0,7
1,1,0,1,0,0,1,1,0,0,7
0,1,0,1,1,1,1,0,0,0,7
1,0,0,0,1,0,0,1,0,1,7
0,1,1,0,0,0,1,0,1,0,7
1,1,0,0,1,1,0,0,1,0,7
1,0,0,1,1,1,0,0,0,1,7
0,1,0,0,0,1,0,0,0,1,7
1,0,0,0,1,0,0,0,1,1,7
0,1,1,0,1,1,1,0,0,0,7
1,0,0,1,0,0,0,0,1,1,7
0,1,1,1,0,1,1,0,0,0,7
0,1,1,1,1,0,1,0,1,0,7
0,0,1,0,0,1,0,1,1,0,7
1,1,0,0,1,0,0,0,1,1,7
0,1,0,1,0,1,0,0,1,0,7
0,1,1,1,1,0,0,1,0,1,7
1,0,0,0,1,0,1,1,1,0,7
0,1,0,1,0,1,0,1,0,0,7
0,1,0,1,1,0,1,0,0,1,7
1,1,0,0,0,0,0,1,0,1,7
0,0,0,1,1,1,1,0,0,1,7
0,1,0,1,0,1,1,0,0,0,7
1,1,0,1,1,0,0,1,0,1,7
1,0,1,1,1,0,0,1,1,0,7
1,1,0,1,1,0,0,1,1,0,7
0,0,1,0,0,0,0,0,1,1,7
0,0,0,0,1,1,1,0,1,0,7
0,1,1,1,0,0,1,0,1,0,7
1,1,1,1,1,0,0,1,1,0,7
0,1,0,0,1,1,0,0,0,1,7
1,0,0,1,0,0,0,1,0,1,7
1,1,0,0,1,0,1,1,0,0,7
0,1,0,0,0,0,0,1,0,1,7
1,1,0,1,0,1,0,1,0,0,7
0,0,0,1,1,0,1,1,0,1,7
1,0,1,0,0,1,0,0,1,0,7
1,0,1,0,0,1,1,0,0,0,7
0,0,1,1,1,0,0,0,1,1,7
0,0,0,1,0,0,1,1,0,1,7
0,1,1,1,1,1,0,0,1,0,7
1,0,0,1,1,0,0,1,0,1,7
1,0,1,0,1,1,0,0,1,0,7
0,0,0,0,1,0,1,1,0,1,7
1,1,1,1,1,0,1,0,1,0,7
1,0,1,1,0,0,0,0,1,1,7
0,1,1,1,0,1,0,0,0,1,7
1,0,0,1,0,1,1,0,0,0,7
1,0,0,1,0,1,0,0,1,0,7
1,1,1,1,1,0,1,1,0,0,7
1,0,1,1,0,0,1,1,0,0,7
0,0,1,0,1,1,0,0,0,1,7
1,0,1,1,0,1,0,0,1,0,7
1,0,1,1,0,1,0,1,0,0,7
0,1,0,0,1,1,0,1,0,0,7
0,0,0,0,0,0,1,0,1,1,7
0,0,0,0,0,1,0,0,1,1,7
0,0,0,0,1,1,1,1,1,0,7
1,1,0,1,0,0,1,0,0,1,7
0,0,0,1,0,0,0,1,1,1,7
1,1,0,1,0,1,0,0,1,0,7
0,0,0,0,0,1,1,1,1,0,7
1,1,0,1,1,0,1,1,1,0,7
1,1,0,1,1,1,0,1,0,0,7
0,0,0,0,1,1,0,0,1,1,7
1,1,1,0,0,0,0,1,1,0,7
1,1,1,0,0,1,0,0,1,0,7
1,1,1,0,0,1,1,0,0,0,7
0,0,0,0,1,0,1,0,1,1,7
1,1,1,0,1,0,1,0,1,0,7
1,1,1,0,1,1,0,0,1,0,7
1,1,1,0,1,1,1,0,0,0,7
0,0,0,0,0,1,0,1,0,1,7
1,1,1,1,0,0,1,0,0,1,7
1,1,1,1,1,0,0,1,0,1,7
0,0,0,0,0,0,0,1,1,1,7
1,1,1,1,1,0,1,0,0,1,7
0,0,0,1,0,1,0,1,0,1,7
0,1,1,1,0,0,1,1,0,0,7
0,0,0,1,0,1,0,1,1,0,7
1,1,0,1,0,0,0,0,1,1,7
0,0,1,1,1,1,0,1,1,0,7
1,0,0,1,1,1,1,0,1,0,7
0,1,0,0,0,0,1,0,1,1,7
1,0,0,1,1,0,1,1,1,0,7
0,1,0,0,1,0,0,0,1,1,7
0,1,0,0,1,1,1,0,0,1,7
0,1,0,0,1,1,1,0,1,0,7
0,1,0,1,0,0,1,0,0,1,7
0,1,0,1,1,0,0,0,1,1,7
0,1,0,1,1,0,0,1,0,1,7
1,0,0,0,0,1,1,1,0,0,7
0,1,0,1,1,0,1,1,1,0,7
1,0,0,0,0,1,0,1,0,1,7
0,1,0,1,1,1,0,0,1,0,7
0,1,0,1,1,1,0,1,0,0,7
0,1,1,0,0,0,0,0,1,1,7
1,0,0,0,0,0,1,0,1,1,7
0,1,1,0,0,0,0,1,0,1,7
0,1,1,0,0,0,1,0,0,1,7
0,1,1,0,0,1,1,0,0,0,7
0,1,1,0,1,0,0,1,0,1,7
0,1,1,1,1,1,0,1,0,0,7
0,1,1,0,1,1,0,0,1,0,7
0,1,1,1,1,0,1,1,1,0,7
0,1,1,0,1,1,0,1,0,0,7
1,0,1,0,0,0,0,1,0,1,7
1,0,1,0,0,1,0,0,0,1,7
0,0,1,1,0,1,1,0,0,1,7
1,1,0,0,0,1,1,0,0,0,7
0,0,0,1,0,1,1,0,1,0,7
0,0,0,1,0,1,1,1,0,0,7
1,1,0,0,1,1,1,0,0,1,7
1,1,0,0,1,1,1,0,0,0,7
1,1,0,0,1,1,0,0,0,1,7
0,0,0,1,1,0,1,0,1,1,7
1,1,0,0,1,0,1,1,1,0,7
1,1,0,0,1,0,1,1,0,1,7
1,1,0,0,1,0,1,0,1,1,7
1,1,0,0,1,0,1,0,0,1,7
0,0,0,1,1,1,1,1,0,0,7
1,1,0,0,0,1,0,1,0,0,7
0,0,1,1,0,1,0,1,1,0,7
1,1,0,0,0,1,0,0,1,0,7
0,0,1,0,0,0,1,0,1,1,7
0,0,1,0,0,0,1,1,0,1,7
0,0,1,0,0,0,1,1,1,0,7
1,0,1,1,1,1,0,1,1,0,7
1,0,1,1,1,0,1,1,0,0,7
0,0,1,0,0,1,1,0,1,0,7
0,0,1,0,1,0,1,0,1,1,7
0,0,1,0,1,1,0,1,1,0,7
1,0,1,0,1,1,1,0,0,0,7
1,0,1,0,1,0,1,0,0,1,7
1,1,1,1,1,1,1,0,0,0,7
